,tumor_p_val,tumor_avg_log2FC,tumor_pct.1,tumor_pct.2,tumor_p_val_adj
MT-ND4L,2.252235773503e-26,-2.56066715874461,0.289,0.998,3.16349036746232e-22
MT-ND1,2.32857138996758e-26,-3.08299917349456,0.105,0.998,3.27071137434846e-22
MT-ATP6,2.66508393548226e-26,-2.48509086809242,0.289,0.998,3.74337689577839e-22
MALAT1,2.84781918223186e-26,-2.66880076132377,0.368,0.998,4.00004682336287e-22
MT-ATP8,3.38696631428088e-26,-2.66557297139124,0.211,0.997,4.75733288503892e-22
MT-ND4,3.65535240024588e-26,-2.93445680571158,0.105,0.996,5.13430798138536e-22
