,tumor_p_val,tumor_avg_log2FC,tumor_pct.1,tumor_pct.2,tumor_p_val_adj
CLEC14A,1.03919145095419e-55,0.70874294270138,1,0.888,1.48656337058998e-51
GSN,6.7681534218267e-49,0.807520119787359,1,0.86,9.6818434699231e-45
ABCG2,7.30614831304722e-49,1.39620906459589,0.566,0.149,1.04514451618141e-44
PLVAP,9.51374984822509e-46,0.532692620026396,1,0.906,1.3609419157886e-41
TXNIP,1.86218647421228e-44,1.16749954922262,0.934,0.572,2.66385775136066e-40
SPARC,1.2229784043122e-43,0.503386549157319,1,0.943,1.7494706073686e-39
